Title,Total Price,Date Sold,Volumes Contained (est.),Format,Link
Attack On Titan Omnibus Set Complete 1-12 (Vols. 1-34) English Manga,185.00,"Sold  Apr 7, 2025",34,Omnibus,https://www.ebay.com/itm/167417667466
Complete Attack on Titan 12 Omnibus (vol 1-34) English Manga Set,192.50,"Sold  Mar 26, 2025",34,Omnibus,https://www.ebay.com/itm/276963764154
Attack On Titan Omnibus Set Complete 1-12 (Vols. 1-34) English Manga,180.00,"Sold  Mar 25, 2025",34,Omnibus,https://www.ebay.com/itm/167373350112
Attack On Titan 1-12 (1-34)  Omnibus Complete Manga English New 10,212.29,"Sold  Mar 18, 2025",34,Omnibus,https://www.ebay.com/itm/115668695047
Attack On Titan Omnibus Set Complete 1-12 (Vols. 1-34) English Manga,200.00,"Sold  Mar 10, 2025",34,Omnibus,https://www.ebay.com/itm/116482528863
Attack On Titan - Omnibus Books 1 & 2 Volumes 1-6 English Manga,15.20,"Sold  Feb 27, 2025",6,Omnibus,https://www.ebay.com/itm/405224522713
Attack On Titan - Omnibus Books Volumes 4-12 English Manga 3 BOOK LOT Very Good,29.95,"Sold  Feb 13, 2025",10,Omnibus,https://www.ebay.com/itm/256773129603
