Title,Total Price,Date Sold,Volumes Contained (est.),Format,Link
naruto 3in1 manga omnibus Vol 1-24 In English Brand New Viz Media Complete Set,333.00,"Sold  Apr 7, 2025",24,Omnibus,https://www.ebay.com/itm/296804178969
"Naruto 3-in-1 Volumes 28, 29,30 English Manga Omnibus",12.00,"Sold  Mar 14, 2025",5,Omnibus,https://www.ebay.com/itm/325823733790
Naruto 3-in-1 Shonen Jump 1-24 Lot of 8 English Manga Set Masashi Kishimoto VIZ,77.70,"Sold  Mar 8, 2025",24,Omnibus,https://www.ebay.com/itm/405402039878
