Title,Total Price,Date Sold,Num Volumes,Price Per Volume,Format,Parse Source,Link
DEATH NOTE English MANGA COMPLETE SET vol. 1 - 12 brand new from Viz,116.10,"Sold  Feb 7, 2025",12,9.67,Lot,Title,https://www.ebay.com/itm/295283549683
Death Note Manga Box Set Vol 1-13 Complete English VIZ Shonen Jump Obata Ohba,69.99,"Sold  Feb 5, 2025",13,5.38,Lot,Title,https://www.ebay.com/itm/135519882125
Death Note #1-10 English Manga ALL 1ST PRINTS by Tsugumi Ohba & Takishi Obata,40.00,"Sold  Jan 31, 2025",10,4.00,Lot,Title,https://www.ebay.com/itm/167278951779
"Death Note Manga Volume 10, 11, 12. English. VIZ Media. Shonen Jump Advanced",20.00,"Sold  Jan 31, 2025",3,6.67,Lot,Title,https://www.ebay.com/itm/296802363110
DEATH NOTE Manga Graphic Novels Vol 1-12 Complete Set ENGLISH Lot Books,59.99,"Sold  Jan 31, 2025",12,5.00,Lot,Title,https://www.ebay.com/itm/256788000224
"DEATH NOTE [English language】 Vol.3-9,13 Manga Comics Deathnote",18.74,"Sold  Jan 30, 2025",8,2.34,Lot,Title,https://www.ebay.com/itm/226565703716
Death Note English Manga Vol. 1-7 (First Story Arc) Shonen Jump Advanced 1st Edt,23.50,"Sold  Jan 29, 2025",7,3.36,Lot,Title,https://www.ebay.com/itm/296959330007
Death Note Complete English Manga Set + Another Note and L Save The World novels,59.99,"Sold  Jan 29, 2025",13,4.61,Lot,Description,https://www.ebay.com/itm/296925591781
Death Note English Manga Volume 1-9,39.95,"Sold  Jan 28, 2025",9,4.44,Lot,Title,https://www.ebay.com/itm/146351676618
DEATH NOTE Manga Volumes 1-8  Shonen Jump English VIZ Media,19.99,"Sold  Jan 25, 2025",8,2.50,Lot,Title,https://www.ebay.com/itm/126889873681
Death Note Complete Box Set Vol 1-12 + 13 & Booklet English Manga Brand New Viz,110.00,"Sold  Jan 25, 2025",13,8.46,Lot,Title,https://www.ebay.com/itm/156605328029
DEATH NOTE Complete Box Set Vol. 1-12 + 13 English Manga RARE Out Of Print NEW!,94.95,"Sold  Jan 25, 2025",13,7.30,Lot,Title,https://www.ebay.com/itm/134189434102
"Death Note English Manga Lot Volume 5, 8, 10 Tsugumi Ohba Viz Media Paperback",12.00,"Sold  Jan 24, 2025",3,4.00,Lot,Title,https://www.ebay.com/itm/226204341539
Death Note Manga vol 1-12 Complete Set English Great Condition + Extras,80.00,"Sold  Jan 23, 2025",12,6.67,Lot,Title,https://www.ebay.com/itm/396126266344
