Title,Total Price,Date Sold,Num Volumes,Price Per Volume,Format,Parse Source,Link
Naruto English Manga Vol. 20 by Masashi Kishimoto(First Print),5.99,"Mar 19, 2025",1,5.99,Single,Title,https://www.ebay.com/itm/286320673132
Naruto English Manga Box Sets 1 And 2,200.00,"Mar 17, 2025",2,100.00,Lot,Title,https://www.ebay.com/itm/356583620423
Naruto Box Set 1 (Vol.1-27 Manga English),80.00,"Mar 16, 2025",27,2.96,Lot,Title,https://www.ebay.com/itm/356676169202
Manga Lot of 27 Books Viz Media Shonen Naruto InuYasha Fire Force Titan English,61.00,"Mar 16, 2025",1,61.00,Single,Title,https://www.ebay.com/itm/276938541047
Naruto Manga Box Set 2 - Volumes 28-48 English,110.00,"Mar 14, 2025",22,5.00,Lot,Title,https://www.ebay.com/itm/167374257881
Naruto Manga Box Set 1 Volumes 1-27 English,110.00,"Mar 13, 2025",27,4.07,Lot,Title,https://www.ebay.com/itm/167374248688
Mixed Manga Book English Lot Of 10 ZELDA TWILGHT NARUTO &OTHERS,19.00,"Mar 13, 2025",1,19.00,Single,Title,https://www.ebay.com/itm/267027579821
Naruto Manga Box Set 3 Vol. 49-72 English Shonen Jump Complete In Box,115.00,"Mar 13, 2025",25,4.60,Lot,Title,https://www.ebay.com/itm/235996994433
NARUTO Manga Books 2-5 Masashi Kishimoto English Version,21.00,"Mar 13, 2025",4,5.25,Lot,Title,https://www.ebay.com/itm/356390547518
Naruto Shonen Jump Manga Lot8 Vol. 19-27 English Graphic Novel Masashi Kishimoto,39.99,"Mar 13, 2025",9,4.44,Lot,Title,https://www.ebay.com/itm/356627212967
Naruto Manga Volumes 28-48 ENGLISH Masashi Kishimoto Graphic Novel Book Set 2,129.00,"Mar 13, 2025",22,5.86,Lot,Title,https://www.ebay.com/itm/235843096279
Naruto Manga English Lot Volume 1-8 Books Shonen Jump Masashi Kishimoto,24.99,"Mar 12, 2025",8,3.12,Lot,Title,https://www.ebay.com/itm/167366407892
Naruto Manga COMPLETE COLLECTION English - Volumes 1-72 (Fantastic Condition),450.00,"Mar 11, 2025",72,6.25,Lot,Title,https://www.ebay.com/itm/375887498505
"Naruto Vol. 48 Paperback by Kishimoto, Masashi Manga Ninja Comic English",5.90,"Mar 10, 2025",1,5.90,Single,Title,https://www.ebay.com/itm/135609887617
Naruto 3 Box Set Volumes 1-74 complete manga ENGLISH language,299.00,"Mar 8, 2025",74,4.04,Lot,Title,https://www.ebay.com/itm/167290475186
Lot of 13 Naruto English Manga 2 3 4 17-20 21 24-27 30 Shonen Jump Kishimoto,74.99,"Mar 7, 2025",14,5.36,Lot,Title,https://www.ebay.com/itm/314133169580
Naruto Manga Box Set 1 Volumes 1-27 with Premium Brand New In English Viz Media,139.95,"Mar 7, 2025",27,5.18,Lot,Title,https://www.ebay.com/itm/396284183410
Naruto Manga Vol 1 holo Limited Edition Masashi Kishimoto English Viz,499.99,"Mar 5, 2025",1,499.99,Single,Title,https://www.ebay.com/itm/135426336579
NARUTO Manga English Vol. 8 - 10 by Masashi Kishimoto Lot Of 3,18.00,"Mar 3, 2025",4,4.50,Lot,Title,https://www.ebay.com/itm/176714781558
(ENGLISH) Naruto Manga Volume 47 | Shonen Jump - Masashi Kishimoto,9.90,"Mar 3, 2025",1,9.90,Single,Title,https://www.ebay.com/itm/156290891473
Naruto Manga English Lot Volume 17-19 Books Shonen Jump Masashi Kishimoto,20.00,"Mar 3, 2025",3,6.67,Lot,Title,https://www.ebay.com/itm/126794139189
Naruto Full English Manga Set (Vol 1- 72 + The Seventh Hokage Volume),299.99,"Mar 2, 2025",72,4.17,Lot,Title,https://www.ebay.com/itm/276901767788
