Title,Total Price,Date Sold,Volumes Contained (est.),Format,Link
DEATH NOTE -- All In One Omnibus Edition -- Adult English Manga -- Viz Media,22.99,"Sold  Mar 30, 2025",3,Omnibus,https://www.ebay.com/itm/316544568927
DEATH NOTE -- All In One Omnibus Edition -- Adult English Manga -- Viz Media,27.99,"Sold  Mar 21, 2025",3,Omnibus,https://www.ebay.com/itm/396340737949
Death Note All-In-One Omnibus Edition Manga & Short Stories Bundle Lot English,29.95,"Sold  Feb 16, 2025",3,Omnibus,https://www.ebay.com/itm/296951108133
